"id","meeting_id","user_id","type","secretary_id","deputy_secretary_id","commissioner_ids","date_time"
"1726","100000024","29","1","180","0",,"2020-4-23 18:02:13"
"1727","100000024","29","2","0","0",,"2020-4-23 18:02:13"
"1728","100000024","29","3","0","469","470,22","2020-4-23 18:02:13"
"1729","100000024","29","4","0","0",,"2020-4-23 18:02:13"
"1738","100000033","185","1","741","742",,"2020-4-28 15:06:57"
"1739","100000033","185","2","0","0",,"2020-4-28 15:06:57"
"1740","100000033","185","3","0","0",,"2020-4-28 15:06:57"
"1741","100000033","185","4","0","0",,"2020-4-28 15:06:57"
"1742","100000033","174","1","0","0",,"2020-4-28 15:07:28"
"1743","100000033","174","2","0","742",,"2020-4-28 15:07:28"
"1744","100000033","174","3","741","0",,"2020-4-28 15:07:28"
"1745","100000033","174","4","0","0",,"2020-4-28 15:07:28"
"1750","100000034","33","1","0","744","747,746","2020-4-28 16:14:58"
"1751","100000034","33","2","743","0","745","2020-4-28 16:14:58"
"1752","100000034","33","3","0","0",,"2020-4-28 16:14:58"
"1753","100000034","33","4","179","0","61","2020-4-28 16:14:58"
"1754","100000026","174","1","29","0","123","2020-4-28 16:41:08"
"1755","100000026","174","2","0","125",,"2020-4-28 16:41:08"
"1756","100000026","174","3","0","0","122","2020-4-28 16:41:08"
"1757","100000026","174","4","0","179",,"2020-4-28 16:41:08"
"1758","100000031","33","1","33","0","125,185","2020-4-28 17:42:33"
"1759","100000031","33","2","0","174","127","2020-4-28 17:42:33"
"1760","100000031","33","3","0","0","123","2020-4-28 17:42:33"
"1761","100000031","33","4","0","49","31","2020-4-28 17:42:33"
"1762","100000036","33","1","799","0","803","2020-4-28 19:13:35"
"1763","100000036","33","2","0","800","801","2020-4-28 19:13:35"
"1764","100000036","33","3","0","0","802","2020-4-28 19:13:35"
"1765","100000036","33","4","0","179","179","2020-4-28 19:13:35"
"1766","100000036","174","1","174","0","24,125","2020-4-28 19:22:08"
"1767","100000036","174","2","0","0",,"2020-4-28 19:22:08"
"1768","100000036","174","3","0","33","126","2020-4-28 19:22:08"
"1769","100000036","174","4","0","0",,"2020-4-28 19:22:08"
"1770","100000038","33","1","174","33","29","2020-4-28 20:19:05"
"1771","100000038","33","2","0","0",,"2020-4-28 20:19:05"
"1772","100000038","33","3","0","0","185","2020-4-28 20:19:05"
"1773","100000038","33","4","0","0",,"2020-4-28 20:19:05"
