"id","admin_id","date_time","function","operate"
"896","44","28/5/2020 11:16:00","本地管理","新增"
"897","44","28/5/2020 11:16:03","本地管理","查看"
"898","44","28/5/2020 11:16:09","本地管理","修改"
"899","44","28/5/2020 11:16:23","选举管理","查看"
"900","44","28/5/2020 11:16:58","组织管理","查看"
"901","44","28/5/2020 11:17:34","组织管理","查看"
"902","44","28/5/2020 11:17:46","组织管理","查看"
"903","44","28/5/2020 11:17:57","组织管理","修改"
"904","44","28/5/2020 11:18:10","组织管理","修改"
"905","44","28/5/2020 11:18:15","组织管理","修改"
"906","44","28/5/2020 11:18:18","选举管理","查看"
"907","44","28/5/2020 11:18:23","选举管理","查看"
"908","44","28/5/2020 11:20:27","组织管理","查看"
"909","44","28/5/2020 11:20:31","组织管理","查看"
"910","44","28/5/2020 11:20:37","组织管理","修改"
"911","44","28/5/2020 11:21:08","组织管理","查看"
"912","44","28/5/2020 11:21:12","组织管理","查看"
"913","44","28/5/2020 11:21:18","组织管理","修改"
"914","44","28/5/2020 11:21:34","组织管理","查看"
"915","44","28/5/2020 11:21:37","组织管理","查看"
"916","44","28/5/2020 11:21:43","组织管理","修改"
"917","44","28/5/2020 11:24:15","组织管理","查看"
"918","44","28/5/2020 11:24:16","组织管理","查看"
"919","44","28/5/2020 11:24:21","组织管理","修改"
"920","44","28/5/2020 11:24:21","组织管理","新增"
"921","44","28/5/2020 11:26:46","组织管理","查看"
"922","44","28/5/2020 11:26:57","组织管理","新增"
"923","44","28/5/2020 11:27:05","组织管理","查看"
"924","44","28/5/2020 11:27:24","组织管理","修改"
"925","44","28/5/2020 11:27:24","组织管理","新增"
"926","44","28/5/2020 11:27:29","组织管理","查看"
"927","44","28/5/2020 11:28:15","组织管理","查看"
"928","44","28/5/2020 11:31:09","组织管理","查看"
"929","44","28/5/2020 11:31:17","组织管理","新增"
"930","44","28/5/2020 11:31:17","组织管理","查看"
"931","44","28/5/2020 11:31:31","组织管理","查看"
"932","44","28/5/2020 11:31:54","组织管理","查看"
"933","44","28/5/2020 11:32:16","组织管理","新增"
"934","44","28/5/2020 11:32:16","组织管理","查看"
"935","44","28/5/2020 11:32:28","组织管理","查看"
"936","44","28/5/2020 11:32:47","组织管理","新增"
"937","44","28/5/2020 11:32:48","组织管理","查看"
"938","44","28/5/2020 11:32:55","组织管理","修改"
"939","44","28/5/2020 11:32:55","组织管理","新增"
"940","44","28/5/2020 11:32:55","组织管理","查看"
"941","44","28/5/2020 11:32:59","组织管理","修改"
"942","44","28/5/2020 11:32:59","组织管理","新增"
"943","44","28/5/2020 11:33:00","组织管理","查看"
"944","44","28/5/2020 11:33:26","本地管理","查看"
"945","44","28/5/2020 11:33:35","本地管理","查看"
"946","44","28/5/2020 11:33:45","本地管理","查看"
"947","44","28/5/2020 11:34:22","本地管理","查看"
"948","44","28/5/2020 11:34:33","本地管理","查看"
"949","44","28/5/2020 11:34:49","本地管理","查看"
"950","44","28/5/2020 11:35:32","本地管理","查看"
"951","44","28/5/2020 11:35:36","本地管理","查看"
"952","44","28/5/2020 11:35:43","本地管理","查看"
"953","44","28/5/2020 11:35:58","本地管理","查看"
"954","44","28/5/2020 11:36:11","本地管理","查看"
"955","46","28/5/2020 11:36:25","本地管理","查看"
"956","46","28/5/2020 11:36:43","本地管理","查看"
"957","46","28/5/2020 11:36:48","本地管理","查看"
"958","46","28/5/2020 11:37:19","本地管理","查看"
"959","46","28/5/2020 11:37:28","本地管理","查看"
"960","46","28/5/2020 11:37:47","本地管理","查看"
"961","46","28/5/2020 11:38:23","本地管理","查看"
"962","46","28/5/2020 11:38:58","本地管理","查看"
"963","46","28/5/2020 11:39:49","本地管理","查看"
"964","46","28/5/2020 11:40:07","本地管理","查看"
"965","46","28/5/2020 11:40:33","本地管理","新增"
"966","46","28/5/2020 11:40:35","本地管理","查看"
"967","44","28/5/2020 11:40:50","本地管理","查看"
"968","1","28/5/2020 11:41:06","本地管理","查看"
"969","44","28/5/2020 11:41:45","组织管理","查看"
"970","44","28/5/2020 11:42:08","组织管理","查看"
"971","44","28/5/2020 11:42:32","组织管理","新增"
"972","44","28/5/2020 11:42:32","组织管理","查看"
"973","44","28/5/2020 11:43:15","本地管理","新增"
"974","44","28/5/2020 11:43:22","本地管理","查看"
"975","44","28/5/2020 11:43:29","本地管理","修改"
"976","44","28/5/2020 11:43:39","选举管理","查看"
"977","44","28/5/2020 11:44:01","本地管理","查看"
"978","44","28/5/2020 11:44:04","本地管理","修改"
"979","44","28/5/2020 11:44:23","选举管理","查看"
"980","44","28/5/2020 11:45:30","组织管理","查看"
"981","1","28/5/2020 11:47:10","组织管理","查看"
"982","44","28/5/2020 11:54:48","账号管理","查看"
"983","44","28/5/2020 11:54:53","账号管理","修改"
"984","47","28/5/2020 11:56:28","本地管理","新增"
"985","44","28/5/2020 11:58:28","本地管理","新增"
"986","1","28/5/2020 12:00:46","账号管理","查看"
"987","44","28/5/2020 13:04:17","账号管理","查看"
"988","1","28/5/2020 13:07:56","账号管理","查看"
"989","44","28/5/2020 13:32:21","组织管理","查看"
"990","43","28/5/2020 13:32:43","组织管理","查看"
"991","43","28/5/2020 13:35:32","组织管理","查看"
"992","43","28/5/2020 13:36:11","本地管理","查看"
"993","43","28/5/2020 13:36:19","本地管理","修改"
"994","43","28/5/2020 13:39:12","本地管理","查看"
"995","43","28/5/2020 13:39:16","本地管理","修改"
"996","43","28/5/2020 13:39:30","本地管理","查看"
"997","43","28/5/2020 13:39:35","本地管理","修改"
