"id","meeting_id","flow_name","flow_step","flow_content","status","date_time"
"2847","100000017",,"1","{""min_army"":""50"",""min_masses"":""50""}","3",
"2848","100000017",,"2","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea80fd03e292__!slide.png\""></p>""}","3",
"2849","100000017",,"3","{""desc"":""<p>1010</p>""}","3",
"2850","100000017",,"4",,"3",
"2851","100000017",,"5","{""desc"":""<p>5888555</p>"",""min_aggree"":""52""}","3",
"2852","100000017",,"6","{""desc"":""<p>s'd</p>"",""min"":""0""}","3",
"2853","100000017",,"7","{""desc"":""<p>傻傻的给</p>""}","3",
"2854","100000017",,"8","{""min"":""0""}","3",
"2855","100000017",,"9","{""min"":""0""}","3",
"2856","100000017",,"10",,"2",
"2857","100000017",,"11",,"1",
"2858","100000017",,"12",,"1",
"2859","100000018",,"1","{""min"":""80"",""c_min"":""60""}","3",
"2860","100000018",,"2","{""desc"":""<p>九严禁</p>""}","3",
"2861","100000018",,"3","{""desc"":""<p>宣布批复</p>""}","1",
"2862","100000018",,"4",,"1",
"2863","100000018",,"5","{""desc"":""<p>选举办法</p>"",""min"":""60""}","1",
"2864","100000018",,"6","{""desc"":""<p>啦啦啦</p>"",""min"":""50""}","1",
"2865","100000018",,"7","{""desc"":""<p>哈哈哈</p>""}","1",
"2866","100000018",,"8","{""min"":""50""}","1",
"2867","100000018",,"9","{""min"":""20""}","1",
"2868","100000018",,"10",,"2",
"2869","100000018",,"11",,"1",
"2870","100000018",,"12",,"1",
"2871","100000019",,"1","{""min"":""80"",""c_min"":""60""}","3",
"2872","100000019",,"2","{""desc"":""<h5>九严禁</h5><p><br></p>""}","3",
"2873","100000019",,"3","{""desc"":""<h5>宣布批复</h5><p><br></p>""}","3",
"2874","100000019",,"4",,"2",
"2875","100000019",,"5","{""desc"":""<p>选举办法</p>"",""min"":""60""}","1",
"2876","100000019",,"6","{""desc"":""<p>5555</p>"",""min"":""10""}","1",
"2877","100000019",,"7","{""desc"":""<h5>投票说明</h5><p><br></p>""}","1",
"2878","100000019",,"8","{""min"":""80""}","1",
"2879","100000019",,"9","{""min"":""80""}","1",
"2880","100000019",,"10",,"1",
"2881","100000019",,"11",,"1",
"2882","100000019",,"12",,"1",
"2883","100000020",,"1","{""min"":"""",""c_min"":""""}","2",
"2884","100000020",,"2","<p>九严谨</p>","1",
"2885","100000020",,"3","{""desc"":""""}","1",
"2886","100000020",,"4",,"1",
"2887","100000020",,"5","{""desc"":""<p>哈哈哈哈哈</p>"",""min"":""""}","1",
"2888","100000020",,"6","{""desc"":""<p>名单哈</p>"",""min"":""""}","1",
"2889","100000020",,"7","<p>说明哈</p>","1",
"2890","100000020",,"8","{""min"":""""}","1",
"2891","100000020",,"9","{""min"":""""}","1",
"2892","100000020",,"10",,"1",
"2893","100000020",,"11",,"1",
"2894","100000020",,"12",,"1",
"2895","100000021",,"1","{""min"":""80"",""c_min"":""80""}","1",
"2896","100000021",,"2",,"1",
"2897","100000021",,"3","<p><br></p><p><img src=""https://f.shyunhua.com//yzxfile/5ea51ab23aa07__!5da044622360c__!0.jpg""></p>","1",
"2898","100000021",,"4",,"1",
"2899","100000021",,"5","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea51bd433052__!O6fD-fxutfpf1201357.jpg\""></p>"",""min"":""80""}","1",
"2900","100000021",,"6","<p>张三    李四    王五    赵六    王刚   嘻嘻</p>","1",
