"id","meeting_id","user_id","type","agree","oppose","abstain"
"1","100000018","33","1","52","2","1"
"3","100000018","42","2","10","2","0"
"4","100000018","43","3","0","0","0"
"5","100000018","33","3","0","0","0"
"8","100000024","180","1","42","0","0"
"11","100000017","174","1","0","0","0"
"12","100000038","179","1","4","0","0"
"13","100000038","33","2","3","2","0"
"14","100000038","185","3","4","0","0"
"15","100000038","49","3","3","1","0"
"16","100000038","127","3","1","0","0"
"17","100000039","179","1","3","0","0"
"18","100000039","33","2","3","0","0"
"19","100000039","185","3","3","0","0"
"20","100000039","29","3","2","0","1"
"21","100000040","174","1","4","0","0"
"22","100000040","33","2","3","0","1"
"23","100000040","29","3","4","0","0"
"24","100000040","185","3","4","0","0"
"25","100000047","185","1","3","0","0"
"26","100000047","24","2","3","0","0"
"27","100000047","57","3","3","0","0"
"28","100000047","121","3","3","0","0"
"29","100000049","187","1","5","0","0"
"30","100000049","180","2","5","0","0"
"31","100000050","135","1","4","0","0"
"32","100000050","174","2","3","1","0"
"33","100000050","29","2","1","0","0"
"34","100000050","29","3","3",,"1"
"36","100000050","135","3","4","0","0"
"37","100000050","136","3","4","0","0"
"38","100000070","211","1","3","0","0"
"39","100000070","204","2","3","0","0"
"40","100000077","211","1","4","2","0"
"41","100000077","199","1","1","0","0"
"42","100000077","24","1","1","0","0"
"43","100000077","204","2","4","2","0"
"44","100000077","43","2","1","0","0"
"45","100000077","211","2","1","0","0"
"46","100000077","42","3","5","1","0"
"47","100000077","43","3","4","0","1"
"48","100000077","199","3","0","1","0"
"49","100000077","204","3","1","0","0"
"50","100000077","24","3","1","0","0"
"51","100000079","211","1","3","0","0"
"52","100000079","202","2","3","0","0"
"53","100000079","51","3","2","1","0"
"54","100000079","43","3","1","0","2"
"55","100000079","191","3","3","0","0"
"56","100000085","211","1","3","0","0"
"57","100000085","199","2","2","0","0"
"58","100000085","211","2","0","3","0"
"59","100000085","193","2","1","0","0"
"60","100000085","195","3","2","0","0"
"61","100000085","197","3","1","0","1"
"62","100000088","108","1","8","2","0"
"63","100000088","96","1","2","0","0"
"64","100000088","96","2","8","2","0"
"65","100000088","108","2","2","0","0"
"66","100000088","99","3","8","2","0"
"67","100000088","104","3","5","0","5"
"68","100000088","105","3","8","2","0"
"69","100000088","100","3","2","2","0"
"70","100000088","101","3","2","0","5"
"71","100000088","97","3","5","0","0"
"75","100000090","16","3","6","0","0"
"76","100000090","99","3","6","0","0"
"77","100000090","101","2","6","0","0"
"78","100000090","100","1","6","0","0"
"79","100000091","116","1","3","1","0"
"80","100000091","115","1","1","0","0"
"81","100000091","115","2","4","0","0"
"82","100000091","97","3","3","0","1"
"83","100000092","116","1","2","0","0"
"85","100000098","97","1","5","0","0"
"86","100000098","115","2","4","1","0"
"87","100000098","96","3","5","0","0"
"88","100000098","107","3","5","0","0"
"89","100000113","98","1","5","0","0"
"90","100000113","96","2","5","0","0"
"91","100000113","115","3","4","0","1"
"92","100000125","113","1","5","0","0"
"93","100000125","110","2","5","0","0"
"94","100000125","98","3","5","0","0"
"95","100000125","99","3","5","0","0"
"96","100000125","101","3","5","0","0"
