"id","meeting_id","user_id","sign_time"
"1365","100000017","31","23/4/2020 17:59:03"
"1372","100000017","26","23/4/2020 21:06:22"
"1373","100000020","26","24/4/2020 09:49:57"
"1374","100000020","31","24/4/2020 09:49:57"
"1375","100000018","29","24/4/2020 10:18:00"
"1376","100000018","26","26/4/2020 09:38:15"
"1377","100000018","31","26/4/2020 09:38:15"
"1385","100000025","33","26/4/2020 20:02:00"
"1386","100000024","27","26/4/2020 21:26:00"
"1388","100000024","51","26/4/2020 21:30:02"
"1389","100000024","52","26/4/2020 21:30:02"
"1390","100000024","53","26/4/2020 21:30:02"
"1391","100000026","180","27/4/2020 14:18:00"
"1392","100000029","60","27/4/2020 18:02:21"
"1393","100000029","61","27/4/2020 18:02:21"
"1394","100000029","62","27/4/2020 18:02:21"
"1395","100000029","63","27/4/2020 18:02:21"
"1396","100000029","24","28/4/2020 10:17:00"
"1397","100000029","182","28/4/2020 10:30:00"
"1398","100000029","33","28/4/2020 10:50:00"
"1399","100000029","174","28/4/2020 10:52:00"
"1400","100000030","33","28/4/2020 11:26:00"
"1401","100000030","182","28/4/2020 11:27:00"
"1402","100000030","174","28/4/2020 11:28:00"
"1403","100000030","31","28/4/2020 11:28:42"
"1404","100000030","58","28/4/2020 11:28:42"
"1405","100000030","62","28/4/2020 11:28:42"
"1407","100000030","185","28/4/2020 11:28:00"
"1408","100000030","63","28/4/2020 11:29:21"
"1409","100000026","185","28/4/2020 11:38:00"
"1410","100000031","33","28/4/2020 13:45:00"
"1415","100000031","49","28/4/2020 13:46:51"
"1416","100000031","57","28/4/2020 13:46:51"
"1417","100000031","58","28/4/2020 13:46:51"
"1419","100000031","182","28/4/2020 14:01:00"
"1421","100000031","59","28/4/2020 14:08:01"
"1422","100000032","185","28/4/2020 14:51:00"
"1423","100000032","174","28/4/2020 14:53:00"
"1424","100000033","182","28/4/2020 15:01:00"
"1425","100000033","185","28/4/2020 15:02:00"
"1426","100000033","174","28/4/2020 15:03:00"
"1427","100000034","31","28/4/2020 16:02:49"
"1428","100000034","49","28/4/2020 16:02:49"
"1429","100000034","64","28/4/2020 16:02:49"
"1430","100000034","65","28/4/2020 16:02:49"
"1431","100000034","33","28/4/2020 16:03:00"
"1432","100000034","182","28/4/2020 16:04:00"
"1433","100000036","33","28/4/2020 18:25:00"
"1434","100000036","59","28/4/2020 18:25:55"
"1435","100000036","60","28/4/2020 18:25:55"
"1436","100000036","61","28/4/2020 18:25:55"
"1437","100000036","62","28/4/2020 18:25:55"
"1438","100000036","63","28/4/2020 18:25:55"
"1439","100000036","24","28/4/2020 18:26:00"
"1440","100000036","182","28/4/2020 18:26:00"
"1441","100000037","174","28/4/2020 20:09:00"
"1442","100000037","61","28/4/2020 20:09:29"
"1443","100000037","62","28/4/2020 20:09:29"
"1444","100000037","63","28/4/2020 20:09:29"
"1445","100000037","64","28/4/2020 20:09:29"
"1446","100000038","33","28/4/2020 20:16:00"
